indicator,type,family,reference,description
lab[.]loomweather[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
ops4[.]coralpark[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
pull[.]alpha-zone[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
push[.]brewtrail[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
push[.]pixelplaza[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
scan[.]civicblaze[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
scheduler[.]civic-team[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
setup[.]waveboard[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
admin[.]topsite[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
api[.]tphost[.]in,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
gate[.]steadygroup[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
heliospay88[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
monitor5[.]roast-core85[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
pool8[.]reefapp[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
portal[.]framerun[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
setup[.]explore-store[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
status7[.]skypress[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
trace[.]lunartempo[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
web[.]zencourt[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
api[.]flexisoftwarebd[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
api[.]ztdeye[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
bridge[.]garden-pixel[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
core[.]coachdesk[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
meta[.]calmshelf67[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot; Resolved to 104.143.36.164
prod[.]commonsource14[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
resolve[.]mint-screen[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
route4[.]modellab84[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
scan[.]journalfleet[.]lol,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
sciencepulse[.]net,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
stage6[.]stillpath8[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
beta[.]oak-den84[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
bridge7[.]warmtools[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
elastic[.]madispace[.]net,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
madispace[.]net,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
search[.]cekpejabat[.]id,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
task[.]pantryly83[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
watch[.]harvestbazaar[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
www[.]snimeibot[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
api[.]mavekite[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
assets5[.]frameai35[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
config[.]cove-post[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
fastmoneyflux[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
ftp[.]makave[.]us,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
queue8[.]vibepulse[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
report[.]clearlens[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
sr21[.]sikhsforjustice[.]org,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
stage[.]mycourt33[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
test[.]kilnteam35[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
api[.]yakohotspot[.]co[.]tz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
beta9[.]coralfabric[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
gate[.]voyagezone[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
meta2[.]go-tools[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
relay7[.]apiforge[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
core2[.]craft-hq19[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
health[.]sigmacoast[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
health0[.]pinetile86[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
log[.]neonhq[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
pull7[.]motiondepot[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
watch7[.]deepclimate[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
edge1[.]gentleline[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
node3[.]meadowrhythm[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
ops[.]canvascampus[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
queue[.]cdnbazaar[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
sancamilowebhook[.]nexbu[.]cloud,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
sso[.]northjournal[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
health[.]harborcoast[.]xyz,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
main[.]commontexture76[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
prod5[.]data-square[.]click,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
4b[.]heliospay88[.]com,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot
audit[.]techreef[.]one,domain,revstealer,https://www.elastic.co/security-labs/threat-command/revstealer-credential-harvesting-infostealer,Banner hash pivot; VirusTotal relations pivot
